code_com,code_id,P21_POP,SUPERF,MED21,density,median_income
76351,76351_0043,166058,46.95,20180,8.171009198249646,20180
76351,76351_0044,166058,46.95,20180,8.171009198249646,20180
76351,76351_0045,166058,46.95,20180,8.171009198249646,20180
76351,76351_0046,166058,46.95,20180,8.171009198249646,20180
76351,76351_0047,166058,46.95,20180,8.171009198249646,20180
76351,76351_0048,166058,46.95,20180,8.171009198249646,20180
76351,76351_0049,166058,46.95,20180,8.171009198249646,20180
76351,76351_0050,166058,46.95,20180,8.171009198249646,20180
76351,76351_0051,166058,46.95,20180,8.171009198249646,20180
76351,76351_0052,166058,46.95,20180,8.171009198249646,20180
76351,76351_0053,166058,46.95,20180,8.171009198249646,20180
76351,76351_0054,166058,46.95,20180,8.171009198249646,20180
76351,76351_0055,166058,46.95,20180,8.171009198249646,20180
76351,76351_0056,166058,46.95,20180,8.171009198249646,20180
76351,76351_0057,166058,46.95,20180,8.171009198249646,20180
76351,76351_0058,166058,46.95,20180,8.171009198249646,20180
76351,76351_0059,166058,46.95,20180,8.171009198249646,20180
76351,76351_0060,166058,46.95,20180,8.171009198249646,20180
76351,76351_0061,166058,46.95,20180,8.171009198249646,20180
76351,76351_0062,166058,46.95,20180,8.171009198249646,20180
76351,76351_0063,166058,46.95,20180,8.171009198249646,20180
76351,76351_0064,166058,46.95,20180,8.171009198249646,20180
76351,76351_0065,166058,46.95,20180,8.171009198249646,20180
76351,76351_0066,166058,46.95,20180,8.171009198249646,20180
76351,76351_0067,166058,46.95,20180,8.171009198249646,20180
76351,76351_0068,166058,46.95,20180,8.171009198249646,20180
76351,76351_0069,166058,46.95,20180,8.171009198249646,20180
76351,76351_0070,166058,46.95,20180,8.171009198249646,20180
76351,76351_0071,166058,46.95,20180,8.171009198249646,20180
76351,76351_0072,166058,46.95,20180,8.171009198249646,20180
76351,76351_0073,166058,46.95,20180,8.171009198249646,20180
76351,76351_0074,166058,46.95,20180,8.171009198249646,20180
76351,76351_0075,166058,46.95,20180,8.171009198249646,20180
76351,76351_0076,166058,46.95,20180,8.171009198249646,20180
76351,76351_0077,166058,46.95,20180,8.171009198249646,20180
76351,76351_0078,166058,46.95,20180,8.171009198249646,20180
76351,76351_0079,166058,46.95,20180,8.171009198249646,20180
76351,76351_0080,166058,46.95,20180,8.171009198249646,20180
76351,76351_0081,166058,46.95,20180,8.171009198249646,20180
76351,76351_0082,166058,46.95,20180,8.171009198249646,20180
76351,76351_0083,166058,46.95,20180,8.171009198249646,20180
76351,76351_0084,166058,46.95,20180,8.171009198249646,20180
76351,76351_0085,166058,46.95,20180,8.171009198249646,20180
76351,76351_0086,166058,46.95,20180,8.171009198249646,20180
76351,76351_0087,166058,46.95,20180,8.171009198249646,20180
76351,76351_0088,166058,46.95,20180,8.171009198249646,20180
76351,76351_0089,166058,46.95,20180,8.171009198249646,20180
76351,76351_0090,166058,46.95,20180,8.171009198249646,20180
76351,76351_0091,166058,46.95,20180,8.171009198249646,20180
76351,76351_0092,166058,46.95,20180,8.171009198249646,20180
76351,76351_0093,166058,46.95,20180,8.171009198249646,20180
76351,76351_0094,166058,46.95,20180,8.171009198249646,20180
76351,76351_0095,166058,46.95,20180,8.171009198249646,20180
76351,76351_0096,166058,46.95,20180,8.171009198249646,20180
76351,76351_0097,166058,46.95,20180,8.171009198249646,20180
76351,76351_0098,166058,46.95,20180,8.171009198249646,20180
76351,76351_0099,166058,46.95,20180,8.171009198249646,20180
76351,76351_0100,166058,46.95,20180,8.171009198249646,20180
76351,76351_0101,166058,46.95,20180,8.171009198249646,20180
